NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210059085130;2023;8;M;1;3;1;1;5;1;;0;;;;;;;;2408102;Natal;24;RN;1;1;1;1;1221;1193;1204;1211;644.9;620.2;626.9;736.3;DBEEBDBBACDCABADCDAACECDBBDECDADBBECDCDDCEAAD;ACEEADAABCBAABEDBCDAECDCDBCBDAEEBDECAADDDCDDE;DBABCCABDECDCDAACADBBDBCBBACCCEEAECBBEBBACAED;BCDDCEEBCDBDAECBAEDDABDDEEDBDECADDACCEECEAACC;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;140;200;160;160;200;860;F;C;D;B;4;B;A;C;C;A;A;B;A;B;A;B;A;B;B;A;A;E;A;B;B
210060801595;2023;3;M;1;3;4;2;0;2;1;0;4128005;Ubirat�;41;PR;2;1;1;4128005;Ubirat�;41;PR;1;1;1;1;1224;1192;1202;1214;608.2;667.6;607.9;691.9;CDDCAEACCDBECDDEEDCBACCCDDBBACCB.EACCBABDEEDE;DBAADEADBDCCBDBCEDEBBCADAEDABCACECDAECBAAABCA;BBBDACBEEEDBACEBECABCACCAAABCBBEBCCEDDBACDDAC;EBDBCDAEBEBACDBDEBABEEBCBDECCCCDCDCBEEDAABBDD;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;140;180;120;160;180;780;D;E;A;B;5;D;A;B;B;B;A;B;A;B;A;A;A;A;B;A;A;B;A;B;B
210059527729;2023;6;M;1;3;1;2;0;2;1;0;2910800;Feira de Santana;29;BA;2;1;1;2910800;Feira de Santana;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;B;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
210060214081;2023;3;F;1;1;1;1;1;1;;0;;;;;;;;3550308;S�o Paulo;35;SP;1;1;1;1;1223;1194;1203;1213;626.5;604.9;614.3;548.8;CBDAAAECECCEBACDCAEABDBCAECDDACADEAECACDBEBBC;ABCCCBBACDADACEBAADADAEEBBBEBCEBCDCCDBDCDAAAE;DDBBADAEBBBEAACAABBAACBBABCBEDEAADBDBEBDDACBC;EBDDEAAABDDCBCECBDAEBADDBBCAACBCDCABDCABDDBEE;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;140;200;160;180;120;800;E;E;B;B;3;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B
210059388087;2023;11;F;1;2;1;1;7;1;;0;;;;;;;;2611606;Recife;26;PE;1;1;1;1;1221;1193;1204;1211;547.2;623.3;593.7;404.6;DBEEBDBDCBACDEBCEBBBCEBEAABCCDBEBACBDCADBCAAB;ACEBAAECDCDAADEABCAABCCCCBCBDDDEBAACAEEDACEAE;AEBABAADDECDEAAECADDBDCCCBACCDEDADBBBEBAACAEB;DCAABBACADCECBEADCEECCDACCBDEBEDEBAECAEBDEECA;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;120;120;100;100;120;560;H;A;F;A;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210059980942;2023;7;F;1;3;1;1;4;1;;0;;;;;;;;2402303;Cara�bas;24;RN;1;1;1;1;1223;1194;1203;1213;510.8;313.4;388.5;415.6;BBDACABCDECBAECDDEABBBCDECEEDACBADEBDACCBEABC;ECDACBCCBAECBCABDDBBEABCDCABABDABCABBCADCBEAA;CBCADEAEBCBBEEECCCCDDDABEBCEDAAADCBDECECCBEBC;EDDCDDBACBDCDBCDBCCEDACBCDEBDCCDECACCDBBEDDAC;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;120;100;120;100;560;B;B;A;A;5;A;A;B;C;B;B;B;A;A;A;A;A;A;B;A;A;D;A;B;B
210058061534;2023;4;F;1;1;1;2;0;2;1;0;1501402;Bel�m;15;PA;2;1;1;1501402;Bel�m;15;PA;1;1;1;1;1222;1191;1201;1212;515.7;553.1;544.4;437;CDBAEEACEDCBCCCECEBEECADCBAADCEBDBEBEBBDCADBE;CDBDBEEDAACBBEDECADDABCDCDBAECBAEAACBEDDEBEDA;BDDABCACEEDCBEBBECDCDCAEBEEDBACBBEBEDBCBBBCAE;ECDBBBCCEDDBDEADCBEDBECCAEBBAEBBEABEDDDAADBEE;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;160;180;160;180;200;880;E;E;C;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;B;A;B
210059855117;2023;11;F;1;1;1;1;10;1;;0;;;;;;;;2109452;Raposa;21;MA;1;1;1;1;1222;1191;1201;1212;435.3;515;452.8;448.2;DEDAACCEEECCBBCAACCDEEABCEECBEECEBDEEBEBCCBBE;ACCAECBEADAEAADECACBAEDACCBADCDEBABCDCCEDAEDA;ABEBCDBEAEDBEEDBAEABACBEEDEBAECCBEEEEAAEBAEAE;DAAEEBBBCABCEEDCAECBCCDCCDABCCCCDCCBBEECADBCA;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;0;480;B;B;B;A;3;B;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;A
210058387328;2023;11;M;1;1;1;1;8;1;;0;;;;;;;;4113700;Londrina;41;PR;1;1;1;1;1222;1191;1201;1212;571.3;574.7;613.3;719.7;CEDBEEDCCBBDCAAADBBEEDECCADDEDCDDAECCDAAECBBB;BDADBCABDACEAADECBEAABDDDADADBAAADDABECCDBDDA;BBAABCECAEDBCDBADBDEACCEBDECBACACDAACABBBECAE;DDECEACCCEADEEDBEABBDDBDAABDCCCACCADBECEADEEB;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;80;560;G;B;D;B;2;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;C;B
210059085131;2023;11;M;1;1;1;1;10;1;;0;;;;;;;;3162500;S�o Jo�o del Rei;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;H;B;B;3;D;A;C;D;B;B;B;A;B;A;B;A;A;C;A;A;D;A;B;B
210060801596;2023;12;F;1;2;1;1;14;1;;0;;;;;;;;2611606;Recife;26;PE;1;1;1;1;1221;1193;1204;1211;403.4;632.2;576;496;EBCBCEBBEDBEBDBDDBACAADEAABADAACBDDEABDBABEEB;EDAAADBABCDAADECBCEABCDCEBCBDADEBEEDAECDBCDAE;AEBADABCDEBDACDACACBBDACEDAECAEAABCBBEAAECAED;EDBDCDBEDBCDACEADEBDDCBDEABDECADCDBBBDDCEACCA;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;100;160;120;120;40;540;E;C;C;B;3;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
210059527730;2023;4;F;1;1;2;1;2;1;;0;;;;;;;;3509502;Campinas;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;D;D;B;6;L;A;C;D;B;A;B;B;B;A;A;A;B;C;A;B;E;A;D;B
210061103941;2023;9;F;1;1;1;1;6;1;;0;;;;;;;;3101607;Alfenas;31;MG;1;1;1;1;1221;1193;1204;1211;707;667.6;628.1;816.8;DBEEBBABCCDCDEECDDDCAAAAAEACCCADEBEADCEDAEEAE;ACEAABBBBCDAEDEEBCDAECDCABCBDADEBCECEBADBCDAE;DBABDABCCECDCDAADABBADACDDACCBEAABCBBEBBACEEB;BCCCEEABCBDDCEABCEADABDDCDDDDECACDDCCBEBEACCC;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;160;180;160;160;160;820;D;G;B;E;4;G;A;B;D;B;A;B;B;B;A;B;A;B;B;A;A;D;A;C;B
210060214082;2023;5;F;1;1;1;1;2;1;;0;;;;;;;;3156700;Sabar�;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;B;B;B;3;E;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
210059388088;2023;3;F;1;1;1;1;1;1;;0;;;;;;;;4115200;Maring�;41;PR;1;1;1;1;1223;1194;1203;1213;540.5;632.5;542.8;575.3;CBDCBEBBEADAAEEDDEAABCEDECCDBBCCBECCDCDDBEECC;ABCDCBDADDAEACEACABCDDEACABEADABCBCABBDCDAADE;BABEAAAECBCEBCCABADCAEBDACCBEDCDBBEDDAEDCDCEE;EBDBEEDACBBCCCCDBAACCCBACDEDCEBEAADDACABDBACC;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;160;200;160;180;180;880;E;D;B;B;6;E;A;B;D;D;C;B;A;B;A;B;A;B;C;B;A;E;A;B;B
210059980943;2023;8;F;0;3;1;1;5;1;;0;;;;;;;;2109908;Santa In�s;21;MA;1;1;1;1;1221;1193;1204;1211;494.2;442.8;552.4;382.1;DBEEECEEBAADBDEBBCDACADBAADCEDECBCDBAEADEDABE;ACEEBDBADBCAABEBDAECBAACBDEABCABCDEDABABEBDAC;AACABABBDEBDCDAADADEBDBADBBCCCEAABABEEBADCEED;CCBAEDBADDBBACDCADEDBDBABAABDCECBDBCACCBBECCB;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;120;140;120;120;120;620;C;D;C;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210058061535;2023;4;F;1;3;1;1;1;1;;0;;;;;;;;5300108;Bras�lia;53;DF;1;1;1;1;1222;1191;1201;1212;424.9;529.4;512.8;398.6;EADBCBACCEBACCBBDCCABCDBEAEAEBDAEBDEEBCBDCDBB;CACCCCEBBCADCADECEDAABCDCDBADDDECAACDECBCBABB;ACCECCABEEDCCCABDDBDBCEEBDACCDCBCDACDADEBECAD;ECCBACBDCCDACBBDBABADBCABCAEBEACACCDDDCACDACB;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;100;120;80;540;F;G;D;D;4;D;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;B;B;B;B
210059855118;2023;11;M;1;1;1;1;5;1;;0;;;;;;;;1501402;Bel�m;15;PA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;F;B;D;3;D;A;C;C;A;A;B;A;A;A;A;A;A;C;A;A;D;A;B;B
210058387329;2023;5;F;1;3;1;1;3;1;;0;;;;;;;;3157807;Santa Luzia;31;MG;1;1;1;1;1222;1191;1201;1212;457.9;532.4;520.3;592.4;EBEBEDBADDEBECCCAEEBAEEBBEAADAEEDBDBDADBEBACB;CAEACAEBAAEEAAAEAEDAABEDDDBADCDEEADDCEEEBBDDA;CBCEDDACADDBCCBADAAEACDEADDBDADBBBAAEAEBAEDAE;DBECBDDBDCEEDEABEABDECDDCECBBDCDDDAEDEEBBDBEB;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;160;200;160;200;200;920;B;E;D;D;5;D;A;D;D;C;A;B;B;B;A;B;A;B;D;A;B;E;B;B;B
210059085132;2023;13;F;0;3;1;1;9;1;;0;;;;;;;;2112209;Timon;21;MA;1;1;1;1;1222;1191;1201;1212;419.4;583.9;526.3;618;EEDBEEBABEEACCCBAECEABDBDDA.DDEDDBDECDAAAEEEA;EDAECBEECACEAADACBDAABCDCCBAECDEADAADEADDABDD;BCAAB.AC.CDACDBADBDABCDABBACDEDDEAAACDDCEEDAB;DDACDEDEBBEBCEAADCBBEECDBAACBCCCCCABDEADAEBEA;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;120;600;B;C;B;B;3;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B
210060801597;2023;4;F;2;1;1;1;3;1;;0;;;;;;;;3301702;Duque de Caxias;33;RJ;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;C;F;5;B;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
210059527731;2023;2;M;1;3;1;3;0;1;;1;;;;;;;;5104807;Jaciara;51;MT;1;1;1;1;1223;1194;1203;1213;576.4;633.3;568.3;644.2;CBDACECECCCBACEBDCADDADEEDAEBBCABBCEBCCEBEDBA;ABCDCBDACDAEACECCABEDAEEBCEEBEEBCECDBADCBAADE;CDBBAAAEDBBEAADACACCAECBAC.EEDCDBEADBEEDDADBD;EEDBCECADDECCCACACBADDABDCEEABCAACCDECBCBEDCD;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;140;140;120;140;140;680;G;D;E;A;2;C;B;B;B;B;B;B;A;B;A;B;A;A;C;A;A;C;A;B;B
210060214083;2023;4;M;1;2;1;1;1;1;;0;;;;;;;;3106200;Belo Horizonte;31;MG;1;1;1;1;1221;1193;1204;1211;511;612.2;547.9;551.2;DBEBBAEEBDBEEDEEACDCACCBAEDCBBAEBBDDABCEAECDB;ACEEAADABCDAADEABBBABCDCEBCBDDDEBECAABDDBCEDA;EBDDCCECCECDADAACADBABACDBAEECCDAECBBEEBAEEEB;CBEDACDCCAAACAACEEADBBCBAAECDBCADDDBDCEDECDCD;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;120;160;120;120;0;520;E;E;D;D;2;D;A;C;E;A;A;B;A;B;A;B;A;A;C;A;A;C;B;C;B
210059388089;2023;12;M;1;3;1;1;12;1;;0;;;;;;;;2800308;Aracaju;28;SE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;D;B;B;1;A;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210059980944;2023;9;F;1;2;1;1;7;1;;0;;;;;;;;2303709;Caucaia;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;A;A;A;A;7;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
210058061536;2023;4;F;1;3;1;1;1;1;;0;;;;;;;;1504422;Marituba;15;PA;1;1;1;1;1224;1192;1202;1214;592.9;624;676.4;731.8;CAABCECCDEBEEDDCCAEECACEDABBECDACECCBAEECAEDE;DAAADEBDCDCCBDBCEBEBABADAEAAADACECDADCBDAABAA;BBBDACAEEEDBACBBACAACAADAAAEABBEBBCCADDDADDAC;BBDAADAECEACBABAEACBECBCBDDCCDACCDEBACAABCCDA;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;160;200;180;140;200;880;E;E;C;B;4;B;A;B;C;A;B;B;A;A;A;A;A;A;C;A;A;D;A;A;B
